响应变量,响应变量名称,检验类型,解释变量,解释变量名称,F统计量,R²,p值,显著性
PSR,过鱼成功率,单变量,Um,平均流速,45.4191,0.7775,0.0001,***
PSR,过鱼成功率,单变量,km,平均湍流动能,94.5157,0.8791,0.0001,***
PSR,过鱼成功率,单变量,tm,紊动强度,22.9553,0.6384,0.0008,***
PSR,过鱼成功率,单变量,Umx,最大流速,29.5734,0.6946,0.0004,***
PSR,过鱼成功率,单变量,kmx,最大湍流动能,36.4509,0.7371,0.0003,***
PSR,过鱼成功率,单变量,tmx,最大紊动强度,33.5735,0.7209,0.0001,***
PSR,过鱼成功率,多变量联合,Um+km+tm+Umx+kmx+tmx,全部水动力变量,86.9515,0.9849,0.0001,***
MFTT,平均首次通过时间,单变量,Um,平均流速,22.4675,0.6335,0.0009,***
MFTT,平均首次通过时间,单变量,km,平均湍流动能,53.0834,0.8033,0.0001,***
MFTT,平均首次通过时间,单变量,tm,紊动强度,14.8101,0.5325,0.0015,**
MFTT,平均首次通过时间,单变量,Umx,最大流速,20.159,0.6079,0.0013,**
MFTT,平均首次通过时间,单变量,kmx,最大湍流动能,18.5556,0.588,0.0017,**
MFTT,平均首次通过时间,单变量,tmx,最大紊动强度,15.8365,0.5492,0.0014,**
MFTT,平均首次通过时间,多变量联合,Um+km+tm+Umx+kmx+tmx,全部水动力变量,9.82,0.8805,0.002,**
MET,平均探索时间,单变量,Um,平均流速,61.1816,0.8248,0.0002,***
MET,平均探索时间,单变量,km,平均湍流动能,203.5951,0.94,0.0001,***
MET,平均探索时间,单变量,tm,紊动强度,6.0399,0.3172,0.023,*
MET,平均探索时间,单变量,Umx,最大流速,48.3747,0.7882,0.0002,***
MET,平均探索时间,单变量,kmx,最大湍流动能,32.1423,0.712,0.0006,***
MET,平均探索时间,单变量,tmx,最大紊动强度,13.4105,0.5078,0.0051,**
MET,平均探索时间,多变量联合,Um+km+tm+Umx+kmx+tmx,全部水动力变量,48.0806,0.973,0.0001,***
EE,进入效率,单变量,Um,平均流速,72.1987,0.8474,0.0001,***
EE,进入效率,单变量,km,平均湍流动能,141.6389,0.9159,0.0001,***
EE,进入效率,单变量,tm,紊动强度,15.4288,0.5427,0.0022,**
EE,进入效率,单变量,Umx,最大流速,44.5975,0.7743,0.0001,***
EE,进入效率,单变量,kmx,最大湍流动能,54.7376,0.8081,0.0001,***
EE,进入效率,单变量,tmx,最大紊动强度,40.1501,0.7554,0.0001,***
EE,进入效率,多变量联合,Um+km+tm+Umx+kmx+tmx,全部水动力变量,68.8898,0.981,0.0001,***
